Column1,Column2,Column3,Column4,Column5,Column 6,Column7,Column8,Column9,Column10,Column11,Column12,Column13,Column14,Column15,Column16,Column17,Column18,Column19,Column20,Column21,Column22,Column23,Column24,Column25,Column26,Column27,Column28,Column29,Column30,Column31,Column32,Column33,Column34,Column35,Column36,Column37,Column38,Column39,Column40,Column41
,,,,Bev Zone Name,Average Bear CN,Bay Street CN,Chicago Micro Zone,Coffee House CN,East Coast High Elasticity,East Coast Low Elasticity,East Coast Mid Elasticity,Frontier CN,Frosty CN,Grassroots,Heartland,Hold Back Test,Hot Cold Test Zone,Laptops And Lattes,Malls,Neighborhood Cafe,New York City,New York City Premium,New York City Tourist,Premium Tourist,Residential Americana,Resort And Remote CN,San Francisco,San Francisco Premium,Seattle,Seattle Drive Thru,Seattle Premium,Suburban Drive Thru,Suburbia CN,Tourist,Uptown Cafe,Urban Living CN,West Coast High Elasticity,West Coast Low Elasticity,West Coast Mid Elasticity,Western Affluent
,,,,POS Zone Number,435,438,367,436,443,417,415,434,433,462,461,374,469,467,157,466,16,395,396,152,464,40,155,405,358,407,406,463,437,65,465,439,424,419,422,151
,,,,Menu Zone Number,62,65,18,63,52,50,51,61,60,72,71,31,41,77,26,76,1,42,43,8,74,14,25,44,29,46,45,73,64,6,75,66,47,49,48,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ItemNumber,ItemDescription,Size,Category,TierSize,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price,Price
000000055,Add Espresso Shot,add,Menu,Add Espresso Shot add,0.90,0.90,0.90,0.90,1.00,1.00,1.00,1.00,1.00,0.90,0.90,0.80,0.90,0.90,0.90,0.90,1.00,1.00,1.00,0.90,0.90,1.00,1.00,1.00,1.00,1.00,1.00,0.90,0.90,0.90,0.90,0.90,1.00,1.00,1.00,0.90
000000057,Add Custom Syrup,add,Menu,Syrup add,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.60,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.60,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50
000000066,Cold Apple Juice Short,Short,Non-Menu,Juice Iced Short,2.75,2.65,2.35,2.65,2.35,2.35,2.65,2.75,2.65,2.35,2.35,2.35,2.35,2.35,2.35,2.35,2.65,2.65,3.15,2.65,2.35,2.75,2.35,2.85,2.35,2.65,2.65,2.35,2.65,2.65,2.35,2.65,2.35,2.35,2.65,2.35
000000067,Tall Apple Juice,Tall,Non-Menu,Juice Iced Tall,2.95,2.75,2.45,2.75,2.45,2.45,2.75,2.95,2.75,2.45,2.45,2.45,2.45,2.45,2.45,2.45,2.75,2.75,3.25,2.75,2.45,2.95,2.45,2.95,2.45,2.75,2.75,2.45,2.75,2.75,2.45,2.75,2.45,2.45,2.75,2.45
000000068,Grande Apple Juice,Grande,Non-Menu,Juice Iced Grande,3.25,2.95,2.65,2.95,2.65,2.65,2.95,3.25,2.95,2.65,2.65,2.65,2.65,2.65,2.65,2.65,2.95,3.25,3.45,3.25,2.65,3.25,2.75,3.25,2.95,2.95,2.95,2.65,2.95,3.25,2.65,2.95,2.75,2.75,2.95,2.65
000000076,Hot Coffee Refill Tall,Tall,Non-Menu,Brewed Refill Tall,2.35,2.35,0.50,2.35,0.50,0.50,0.50,2.35,2.35,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,0.50,2.65,0.50,0.50,0.50,0.50,0.50,0.50,2.35,0.50,0.50,2.25,0.50,0.50,0.50,0.50
000000090,Short Caffè Misto,Short,Menu,Brewed Misto Short,3.05,3.05,2.75,3.05,3.25,3.35,3.35,3.05,3.05,3.05,3.05,2.65,3.05,3.05,3.05,3.05,3.35,3.35,3.65,3.55,3.05,3.35,3.25,3.25,3.35,3.35,3.35,3.05,3.05,3.45,3.05,2.95,3.25,3.35,3.35,3.05
000000091,Tall Caffè Misto,Tall,Menu,Brewed Misto Tall,3.15,3.15,2.85,3.15,3.35,3.45,3.45,3.15,3.15,3.15,3.15,2.75,3.15,3.15,3.15,3.15,3.45,3.45,3.75,3.65,3.15,3.45,3.35,3.35,3.45,3.45,3.45,3.15,3.15,3.55,3.15,3.05,3.35,3.45,3.45,3.15
000000092,Grande Caffè Misto,Grande,Menu,Brewed Misto Grande,3.55,3.45,3.15,3.45,3.45,3.55,3.75,3.55,3.55,3.45,3.45,2.85,3.45,3.45,3.45,3.45,3.75,3.75,3.85,3.75,3.45,3.75,3.65,3.65,3.75,3.75,3.75,3.45,3.45,3.75,3.45,3.45,3.45,3.75,3.75,3.45
000000093,Short Caffè Americano,Short,Menu,Espresso Americano Hot Short,3.15,3.15,2.45,3.15,2.45,2.45,2.55,3.15,3.15,2.45,2.45,2.25,2.45,2.65,2.45,2.65,2.95,2.75,3.25,3.45,2.45,3.35,2.45,2.95,2.95,2.95,2.95,2.45,3.15,2.95,2.45,3.15,2.45,2.45,2.55,2.65
000000094,Tall Caffè Americano,Tall,Menu,Espresso Americano Hot Tall,3.25,3.25,2.65,3.25,2.95,2.95,2.75,3.25,3.25,2.95,2.95,2.45,2.95,2.95,2.75,2.95,3.25,3.25,3.45,3.75,2.85,3.45,2.95,3.25,3.25,3.25,3.25,2.95,3.25,3.25,2.95,3.25,2.95,2.95,2.75,2.85
000000095,Grande Caffè Americano,Grande,Menu,Espresso Americano Hot Grande,3.65,3.65,3.25,3.45,3.25,3.45,3.25,3.65,3.65,3.35,3.25,2.95,3.25,3.45,2.95,3.45,3.75,3.45,3.95,3.95,3.25,3.65,3.45,3.75,3.75,3.75,3.75,3.25,3.65,3.65,3.25,3.65,3.25,3.45,3.25,3.45
000000992,Add Cup of Ice,add,Non-Menu,Cup of Ice add,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00
000106509,Tall Iced Coffee,Tall,Menu,Brewed Sweetened Iced Tall,2.95,2.95,2.75,2.95,3.25,3.45,3.45,2.95,3.25,3.25,3.25,2.75,3.25,3.25,3.25,3.25,3.45,3.75,3.95,3.45,3.25,3.25,3.45,3.45,3.45,3.75,3.75,3.25,2.95,3.45,3.25,2.95,3.25,3.45,3.45,3.25
000106510,Grande Iced Coffee,Grande,Menu,Brewed Sweetened Iced Grande,3.25,3.45,2.95,3.45,3.45,3.75,3.75,3.45,3.45,3.45,3.45,2.95,3.45,3.45,3.45,3.45,3.75,3.95,4.25,3.75,3.45,3.45,3.75,3.95,3.95,3.95,3.95,3.45,3.45,3.75,3.45,3.25,3.45,3.75,3.75,3.45
000107488,Large Format Custom Brewed Coffee 1 gallon,Tall,Non-Menu,Brewed By The Gallon Tall,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00,25.00
000107489,Large Format Custom Brewed Coffee 2.5 gallons,Grande,Non-Menu,Brewed By The Gallon Grande,60.00,65.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00,60.00
000107504,Large Format Custom Brewed Coffee 5 gallons,Venti,Non-Menu,Brewed By The Gallon Venti,115.00,125.00,115.00,115.00,120.00,120.00,120.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,115.00,120.00,120.00,120.00,120.00,115.00,115.00,120.00,120.00,120.00,120.00,120.00,115.00,115.00,120.00,115.00,115.00,120.00,120.00,120.00,115.00
000108516,Short Eggnog Latte,Short,Non-Menu,Espresso LTO Hot Short,4.85,4.85,4.25,4.85,4.65,4.65,4.65,4.85,5.15,4.75,4.65,4.35,4.65,4.75,4.75,4.75,4.85,4.85,5.55,5.35,4.75,5.15,4.65,4.65,4.65,4.85,4.85,4.65,4.85,5.35,4.75,4.55,4.65,4.65,4.65,4.65
000108517,Tall Eggnog Latte,Tall,Non-Menu,Espresso LTO Hot Tall,4.95,4.95,4.45,4.95,4.75,4.75,4.75,4.95,5.25,4.85,4.75,4.45,4.75,4.85,4.85,4.85,4.95,4.95,5.65,5.45,4.85,5.25,4.75,4.75,4.75,4.95,4.95,4.75,4.95,5.45,4.85,4.65,4.75,4.75,4.75,4.75
000108518,Grande Eggnog Latte,Grande,Non-Menu,Espresso LTO Hot Grande,5.45,5.45,5.25,5.45,5.25,5.25,5.25,5.65,5.45,5.45,5.25,4.95,5.25,5.45,5.45,5.45,5.75,5.75,5.95,5.65,5.45,5.75,5.45,5.45,5.45,5.45,5.45,5.25,5.65,5.75,5.45,5.25,5.25,5.25,5.25,5.25
000109836,Decaf,add,Non-Menu,Siren Non Price Modifier Add add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109837,1/2 Decaf,add,Non-Menu,Siren Non Price Modifier Add add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109839,Add Ristretto,add,Non-Menu,Siren Non Price Modifier Add add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109840,Add Nonfat Milk,add,Non-Menu,Siren Non Price Modifier Add add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109841,Add 2% Milk,add,Non-Menu,Siren Non Price Modifier Add add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109842,Breve (Half & Half),add,Non-Menu,Milk Modifier add,0.80,0.80,0.70,0.80,0.70,0.80,0.80,0.80,0.80,0.70,0.70,0.60,0.70,0.70,0.70,0.70,0.80,0.80,0.90,0.80,0.70,0.80,0.70,0.70,0.80,0.80,0.80,0.70,0.80,0.80,0.70,0.80,0.70,0.80,0.80,0.70
000109844,For Here Cup,add,Non-Menu,Siren Non Price Modifier Delivery Options add,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109845,Ask Me,add,Non-Menu,Ask Me Serving Option add,0.00,0.00,,0.00,,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,
000109883,Double Cup,add,Non-Menu,Double Cup add,0.00,0.00,,0.00,,,,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,,,,,0.00,,,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,,,,
000109888,Warm,add,Non-Menu,Siren Non Price Modifier Add add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109889,Extra Hot,add,Non-Menu,Siren Non Price Modifier Add add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109890,Regular Steamed,regular,Non-Menu,Siren Non Price Modifier Toppings regular,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109891,Regular Whipped Cream,regular,Non-Menu,Non Price Modifier Toppings regular,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109892,Light Whipped Cream,light,Non-Menu,Non Price Modifier Toppings light,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109893,No Whipped Cream,no,Non-Menu,Non Price Modifier Toppings no,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109894,Sugar,add,Non-Menu,Siren Non Price Modifier Add Sub Shots add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109895,Saccharin (pink),add,Non-Menu,Siren Non Price Modifier Add Sub Shots add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109896,Equal® (blue),add,Non-Menu,Siren Non Price Modifier Add Sub Shots add,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109897,Regular Ice,regular,Non-Menu,Siren Non Price Modifier Toppings regular,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109898,Light Ice,light,Non-Menu,Siren Non Price Modifier Toppings light,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
000109899,No Ice,no,Non-Menu,Siren Non Price Modifier Toppings no,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
